timestamp,label,category,dialyzer,l1_mean,l1_std,l2_mean,l2_std,ssim_mean,ssim_std,edge_l2_mean,edge_l2_std,hist_corr_mean,hist_corr_std,n_frames
180.0,t=180s_normal_baseline,normal,T1,15.073,0.2276,22.23,0.343,0.553,0.0087,21.559,0.2801,0.941,0.0015,7
180.0,t=180s_normal_baseline,normal,T2,4.874,0.3694,11.002,0.6457,0.882,0.0083,7.592,0.2304,0.992,0.0031,7
180.0,t=180s_normal_baseline,normal,T3,13.088,0.2286,18.079,0.236,0.572,0.0033,18.293,0.2305,0.933,0.0064,7
180.0,t=180s_normal_baseline,normal,T4,9.308,1.6388,15.82,2.7072,0.735,0.0354,10.489,0.6554,0.815,0.0147,7
180.0,t=180s_normal_baseline,normal,T5,7.281,0.0486,16.656,0.3135,0.913,0.0008,5.468,0.1957,0.91,0.0045,7
272.0,t=272s_anomaly,anomaly,T1,10.078,1.4355,14.766,2.1279,0.755,0.0624,13.625,2.105,0.941,0.0219,7
272.0,t=272s_anomaly,anomaly,T2,3.984,0.3604,6.903,0.5996,0.911,0.0091,5.43,0.5609,0.993,0.0022,7
272.0,t=272s_anomaly,anomaly,T3,12.295,1.2315,16.546,1.374,0.595,0.0547,12.742,2.6116,0.913,0.0231,7
272.0,t=272s_anomaly,anomaly,T4,23.787,0.4163,34.604,0.259,0.57,0.0115,5.908,0.2721,0.45,0.0117,7
272.0,t=272s_anomaly,anomaly,T5,8.198,0.9585,19.313,4.2002,0.855,0.0437,5.657,0.3463,0.916,0.0851,7
300.0,t=300s,extra,T1,6.647,0.9437,9.604,1.1023,0.924,0.0126,11.515,1.029,0.877,0.0713,7
300.0,t=300s,extra,T2,4.174,0.722,7.357,1.3924,0.904,0.0149,4.858,0.192,0.968,0.0091,7
300.0,t=300s,extra,T3,10.384,0.5165,17.141,0.9945,0.766,0.0117,8.953,0.1555,0.928,0.0078,7
300.0,t=300s,extra,T4,44.488,0.7672,45.704,0.8309,0.788,0.0055,6.591,0.2417,-0.141,0.0098,7
300.0,t=300s,extra,T5,17.541,0.1481,37.729,0.113,0.801,0.0075,5.538,0.4379,0.866,0.0072,7
500.0,t=500s,extra,T1,12.744,0.4141,17.383,0.5429,0.724,0.0115,19.067,1.01,0.877,0.0127,7
500.0,t=500s,extra,T2,6.042,0.5175,8.328,1.0542,0.898,0.0171,5.668,0.2174,0.914,0.0128,7
500.0,t=500s,extra,T3,16.991,4.9637,28.365,12.0145,0.581,0.016,19.386,0.6921,0.932,0.0087,7
500.0,t=500s,extra,T4,15.767,2.3735,21.156,2.9304,0.751,0.0201,7.368,0.2539,0.675,0.0803,7
500.0,t=500s,extra,T5,9.878,0.4353,24.465,0.556,0.809,0.0092,6.596,0.1216,0.9,0.0173,7
700.0,t=700s,extra,T1,15.451,0.7358,24.318,1.3477,0.618,0.063,30.385,2.0772,0.883,0.0099,7
700.0,t=700s,extra,T2,14.056,5.7274,17.44,6.3103,0.752,0.0678,7.048,0.5485,0.739,0.1906,7
700.0,t=700s,extra,T3,24.673,4.1032,43.689,2.4332,0.657,0.0355,11.205,0.475,0.759,0.1608,7
700.0,t=700s,extra,T4,39.755,7.707,43.443,6.4497,0.514,0.0997,9.806,2.2047,0.094,0.2334,7
700.0,t=700s,extra,T5,22.215,6.0585,40.968,2.8701,0.703,0.0485,6.847,0.4715,0.644,0.2322,7
900.0,t=900s,extra,T1,5.709,0.2484,8.797,0.3781,0.936,0.0064,9.542,0.535,0.984,0.0016,7
900.0,t=900s,extra,T2,3.427,0.2476,6.121,0.2157,0.939,0.0031,4.634,0.158,0.99,0.0028,7
900.0,t=900s,extra,T3,11.127,0.1344,17.662,0.1359,0.762,0.0018,7.276,0.1438,0.922,0.0104,7
900.0,t=900s,extra,T4,29.031,1.5967,34.059,1.1483,0.59,0.0214,5.845,0.4646,0.401,0.0861,7
900.0,t=900s,extra,T5,90.571,29.4277,98.406,27.4663,0.322,0.1732,8.172,3.2741,-0.105,0.2318,7
949.0,t=949s_anomaly,anomaly,T1,9.004,0.3321,12.916,0.4874,0.81,0.0181,12.971,0.8513,0.872,0.0171,7
949.0,t=949s_anomaly,anomaly,T2,4.894,0.2566,6.798,0.3885,0.927,0.0063,5.413,0.1642,0.955,0.0081,7
949.0,t=949s_anomaly,anomaly,T3,16.288,0.3255,21.253,0.3547,0.512,0.0076,14.48,0.3599,0.782,0.011,7
949.0,t=949s_anomaly,anomaly,T4,8.475,0.2267,15.584,0.353,0.744,0.0058,9.434,0.0972,0.964,0.0032,7
949.0,t=949s_anomaly,anomaly,T5,8.418,0.446,14.111,1.8779,0.891,0.0203,6.172,0.5663,0.838,0.0101,7
1047.0,t=1047s_anomaly,anomaly,T1,16.821,0.5906,22.184,0.7906,0.756,0.0242,16.465,1.5477,0.606,0.0137,7
1047.0,t=1047s_anomaly,anomaly,T2,4.913,0.6886,8.094,1.5606,0.896,0.0253,6.252,0.4983,0.978,0.0066,7
1047.0,t=1047s_anomaly,anomaly,T3,13.755,0.5788,18.919,0.5898,0.536,0.0155,14.114,0.4991,0.925,0.0049,7
1047.0,t=1047s_anomaly,anomaly,T4,6.439,0.2715,12.679,0.3585,0.765,0.0126,11.065,0.2634,0.976,0.0043,7
1047.0,t=1047s_anomaly,anomaly,T5,20.976,0.3046,44.181,0.3943,0.583,0.007,6.542,0.2832,0.792,0.0031,7
1050.0,t=1050s,extra,T1,20.069,0.2262,25.561,0.3825,0.695,0.0134,20.541,0.7031,0.37,0.0084,7
1050.0,t=1050s,extra,T2,4.33,0.0717,7.643,0.0998,0.881,0.0033,6.274,0.1596,0.946,0.0022,7
1050.0,t=1050s,extra,T3,24.865,0.0961,44.519,0.0487,0.508,0.0023,15.482,0.125,0.908,0.0025,7
1050.0,t=1050s,extra,T4,18.84,0.1122,24.734,0.0872,0.694,0.0114,8.717,0.233,0.573,0.0102,7
1050.0,t=1050s,extra,T5,19.714,0.2081,45.376,0.3356,0.562,0.0048,7.425,0.2389,0.891,0.0022,7
1072.0,t=1072s_anomaly,anomaly,T1,19.922,3.0516,25.614,2.2282,0.703,0.0526,22.463,2.7261,0.461,0.2867,7
1072.0,t=1072s_anomaly,anomaly,T2,6.092,0.6703,9.113,0.7272,0.867,0.0166,5.266,0.2264,0.905,0.0123,7
1072.0,t=1072s_anomaly,anomaly,T3,19.25,5.8371,28.578,10.9011,0.629,0.0521,11.342,1.5495,0.793,0.0946,7
1072.0,t=1072s_anomaly,anomaly,T4,25.322,12.7635,31.067,13.6089,0.615,0.0934,9.139,0.9307,0.384,0.2796,7
1072.0,t=1072s_anomaly,anomaly,T5,43.707,34.0024,55.513,33.6438,0.516,0.2925,8.916,3.6774,0.416,0.4941,7
